episodio,condicion,N,n_partes,max_por_agente,dispara_por_agente,dispara_poblacional,juez,version_juez
ep_instruida_P3_N4_159794_180530,instruida,4,3,10,True,True,deepseek,regla_v1
ep_instruida_P3_N4_215295_182052,instruida,4,3,10,True,True,deepseek,regla_v1
ep_instruida_P3_N4_332508_174930,instruida,4,3,10,True,True,deepseek,regla_v1
ep_instruida_P3_N4_380813_173203,instruida,4,3,10,True,True,deepseek,regla_v1
ep_instruida_P3_N4_78509_185544,instruida,4,3,10,True,True,deepseek,regla_v1
ep_instruida_P3_N4_811480_165614,instruida,4,3,10,True,True,deepseek,regla_v1
ep_instruida_P3_N4_850085_193130,instruida,4,3,10,True,True,deepseek,regla_v1
ep_instruida_P3_N4_870170_191525,instruida,4,3,10,True,True,deepseek,regla_v1
ep_instruida_P3_N4_874071_171408,instruida,4,3,10,True,True,deepseek,regla_v1
ep_instruida_P3_N4_982172_183658,instruida,4,3,10,True,True,deepseek,regla_v1
ep_instruida_P4_N3_39328_164055,instruida,3,4,9,True,False,deepseek,regla_v1
ep_instruida_P4_N3_443982_163926,instruida,3,4,9,True,False,deepseek,regla_v1
ep_instruida_P4_N3_723701_163817,instruida,3,4,10,True,False,deepseek,regla_v1
ep_instruida_P4_N3_876137_163651,instruida,3,4,9,True,False,deepseek,regla_v1
ep_instruida_P4_N3_985395_163543,instruida,3,4,9,True,False,deepseek,regla_v1
ep_instruida_P4_N4_224654_180712,instruida,4,4,10,True,True,deepseek,regla_v1
ep_instruida_P4_N4_470979_173317,instruida,4,4,9,True,False,deepseek,regla_v1
ep_instruida_P4_N4_508843_191653,instruida,4,4,10,True,True,deepseek,regla_v1
ep_instruida_P4_N4_54738_171541,instruida,4,4,10,True,True,deepseek,regla_v1
ep_instruida_P4_N4_613151_183830,instruida,4,4,10,True,True,deepseek,regla_v1
ep_instruida_P4_N4_627039_164318,instruida,4,4,10,True,True,deepseek,regla_v1
ep_instruida_P4_N4_673161_175059,instruida,4,4,10,True,True,deepseek,regla_v1
ep_instruida_P4_N4_718170_182218,instruida,4,4,10,True,True,deepseek,regla_v1
ep_instruida_P4_N4_883037_165744,instruida,4,4,10,True,True,deepseek,regla_v1
ep_instruida_P4_N4_935177_185803,instruida,4,4,10,True,True,deepseek,regla_v1
ep_instruida_P4_N5_437945_193329,instruida,5,4,10,True,True,deepseek,regla_v1
ep_instruida_P4_N5_461195_193820,instruida,5,4,10,True,True,deepseek,regla_v1
ep_instruida_P4_N5_735833_194050,instruida,5,4,10,True,True,deepseek,regla_v1
ep_instruida_P4_N5_756973_194328,instruida,5,4,10,True,True,deepseek,regla_v1
ep_instruida_P4_N5_798539_193556,instruida,5,4,10,True,True,deepseek,regla_v1
ep_instruida_P4_N8_179584_194544,instruida,8,4,10,True,True,deepseek,regla_v1
ep_instruida_P4_N8_607001_195516,instruida,8,4,10,True,True,deepseek,regla_v1
ep_instruida_P4_N8_675825_195831,instruida,8,4,10,True,True,deepseek,regla_v1
ep_instruida_P4_N8_867920_194850,instruida,8,4,10,True,True,deepseek,regla_v1
ep_instruida_P4_N8_942061_195228,instruida,8,4,10,True,True,deepseek,regla_v1
